target_active_sessions,repetition,deadline_ms,grouping,threshold_k,horizon_s,mean_active_sessions,event_count,fixed_window_eligible_share,local_upper_share,boundary_alignment_gap,fixed_cohort_p90,local_cohort_p90,local_cohort_max
10000,0,250,event_class,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,153.0,165.0,183
10000,0,250,pooled,32,60.0,9997.073338683264,65544,1.0,1.0,0.0,296.0,312.0,336
10000,0,250,pooled,64,60.0,9997.073338683264,65544,1.0,1.0,0.0,296.0,312.0,336
10000,0,250,pooled,128,60.0,9997.073338683264,65544,1.0,1.0,0.0,296.0,312.0,336
10000,0,250,pooled,256,60.0,9997.073338683264,65544,0.8685158061760039,0.9982759672891492,0.12976016111314537,296.0,312.0,336
10000,0,250,route_key,32,60.0,9997.073338683264,65544,0.6646832662028561,0.6651104601489076,0.0004271939460515073,142.0,154.0,175
10000,0,250,route_key,64,60.0,9997.073338683264,65544,0.49415659709508114,0.5248840473575003,0.03072745026241913,142.0,154.0,175
10000,0,250,route_key,128,60.0,9997.073338683264,65544,0.3365067740754302,0.46739594776028315,0.13088917368485292,142.0,154.0,175
10000,0,250,route_key,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,142.0,154.0,175
10000,1,10,event_class,32,60.0,10136.979237585405,66597,0.0,0.0,0.0,10.0,12.0,21
10000,1,10,event_class,64,60.0,10136.979237585405,66597,0.0,0.0,0.0,10.0,12.0,21
10000,1,10,event_class,128,60.0,10136.979237585405,66597,0.0,0.0,0.0,10.0,12.0,21
10000,1,10,event_class,256,60.0,10136.979237585405,66597,0.0,0.0,0.0,10.0,12.0,21
10000,1,10,pooled,32,60.0,10136.979237585405,66597,0.0,0.0,0.0,16.0,20.0,29
10000,1,10,pooled,64,60.0,10136.979237585405,66597,0.0,0.0,0.0,16.0,20.0,29
10000,1,10,pooled,128,60.0,10136.979237585405,66597,0.0,0.0,0.0,16.0,20.0,29
10000,1,10,pooled,256,60.0,10136.979237585405,66597,0.0,0.0,0.0,16.0,20.0,29
10000,1,10,route_key,32,60.0,10136.979237585405,66597,0.0,0.0,0.0,8.0,10.0,16
10000,1,10,route_key,64,60.0,10136.979237585405,66597,0.0,0.0,0.0,8.0,10.0,16
10000,1,10,route_key,128,60.0,10136.979237585405,66597,0.0,0.0,0.0,8.0,10.0,16
10000,1,10,route_key,256,60.0,10136.979237585405,66597,0.0,0.0,0.0,8.0,10.0,16
10000,1,25,event_class,32,60.0,10136.979237585405,66597,0.0,0.0,0.0,20.0,23.0,31
10000,1,25,event_class,64,60.0,10136.979237585405,66597,0.0,0.0,0.0,20.0,23.0,31
10000,1,25,event_class,128,60.0,10136.979237585405,66597,0.0,0.0,0.0,20.0,23.0,31
10000,1,25,event_class,256,60.0,10136.979237585405,66597,0.0,0.0,0.0,20.0,23.0,31
10000,1,25,pooled,32,60.0,10136.979237585405,66597,0.28788083547306936,0.7062480291905041,0.41836719371743475,36.0,40.0,52
10000,1,25,pooled,64,60.0,10136.979237585405,66597,0.0,0.0,0.0,36.0,40.0,52
10000,1,25,pooled,128,60.0,10136.979237585405,66597,0.0,0.0,0.0,36.0,40.0,52
10000,1,25,pooled,256,60.0,10136.979237585405,66597,0.0,0.0,0.0,36.0,40.0,52
