target_active_sessions,deadline_ms,grouping,threshold_k,repetitions,event_count_mean,fixed_window_eligible_share_mean,exact_optimal_share_mean,exact_optimal_share_min,exact_optimal_share_max,local_upper_share_mean,exact_batch_count_mean,alignment_gap_closure_mean,solver_elapsed_s_mean
10000,10,pooled,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12823662937929234
10000,10,pooled,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1267377456339697
10000,10,route_key,32,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1272009100454549
10000,10,route_key,64,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1278966343961656
10000,10,route_key,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12653533151994148
10000,10,route_key,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12423754173020522
10000,25,event_class,32,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1276359485151867
10000,25,event_class,64,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12784470431506634
10000,25,event_class,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12788817705586553
10000,25,event_class,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12648252692694464
10000,25,pooled,32,3,65348.0,0.2608774990383474,0.567420281916748,0.5246076084064911,0.6067390422992026,0.6643894728705783,1071.3333333333333,0.7596117759485237,0.139314289825658
10000,25,pooled,64,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1313716876320541
10000,25,pooled,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12830901239067316
10000,25,pooled,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.13003615460669002
10000,25,route_key,32,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12788040144369006
10000,25,route_key,64,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12840924070527157
10000,25,route_key,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1277591922941307
10000,25,route_key,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12389215128496289
10000,50,event_class,32,3,65348.0,0.2559862070174031,0.5470114324113857,0.48972661690374475,0.5913479586167545,0.6403864526501815,1033.3333333333333,0.757161199804736,0.13807694738109907
10000,50,event_class,64,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1269711529215177
10000,50,event_class,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1267150629622241
10000,50,event_class,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12997308311363062
10000,50,pooled,32,3,65348.0,0.9995201059939806,1.0,1.0,1.0,1.0,1179.0,1.0,0.1702626971527934
10000,50,pooled,64,3,65348.0,0.13628398303025513,0.3866514110062466,0.32436661815564216,0.4323317867171194,0.4799701202059916,373.3333333333333,0.7282613018008983,0.13637367139259973
10000,50,pooled,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12795714863265553
10000,50,pooled,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1303153980212907
10000,50,route_key,32,3,65348.0,0.09203562380434112,0.2224630036228752,0.20003755692221023,0.2376113755645063,0.2659918132558617,421.6666666666667,0.7500931810217395,0.13251905608922243
10000,50,route_key,64,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1293589356355369
10000,50,route_key,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12708504466960827
10000,50,route_key,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12781588391711315
10000,100,event_class,32,3,65348.0,0.9933151349847736,0.9943667718206811,0.9942256232101779,0.9944892412571137,0.9943667718206811,1179.3333333333333,1.0,0.16630737110972404
10000,100,event_class,64,3,65348.0,0.14129433793152177,0.3741314358033132,0.3125361876594213,0.4203792963647011,0.45425126805962385,361.6666666666667,0.7441012249436767,0.13385859100768963
10000,100,event_class,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12806844136988124
10000,100,event_class,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12755596078932285
10000,100,pooled,32,3,65348.0,1.0,1.0,1.0,1.0,1.0,595.0,,0.16850513654450575
