target_active_sessions,window_ms,grouping,threshold_k,repetitions,eligible_share_mean,eligible_share_std,eligible_share_min,eligible_share_max,cohort_size_event_mean,cohort_size_event_p50,cohort_size_event_p90,cohort_size_event_p99,cohort_size_max,wait_ms_mean,wait_ms_p95,mean_active_sessions,active_population_ratio,event_rate_hz
100000,25,event_class,1024,5,0.0,0.0,0.0,0.0,135.54723716179348,136.0,152.8,166.4,190,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,event_class,4096,5,0.0,0.0,0.0,0.0,135.54723716179348,136.0,152.8,166.4,190,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,pooled,32,5,1.0,0.0,1.0,1.0,272.8619529094438,272.8,294.0,311.4,355,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,pooled,64,5,1.0,0.0,1.0,1.0,272.8619529094438,272.8,294.0,311.4,355,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,pooled,128,5,1.0,0.0,1.0,1.0,272.8619529094438,272.8,294.0,311.4,355,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,pooled,256,5,0.8555554263655744,0.014579541437067224,0.8376453427989826,0.8774189610845368,272.8619529094438,272.8,294.0,311.4,355,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,pooled,512,5,0.0,0.0,0.0,0.0,272.8619529094438,272.8,294.0,311.4,355,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,pooled,1024,5,0.0,0.0,0.0,0.0,272.8619529094438,272.8,294.0,311.4,355,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,pooled,4096,5,0.0,0.0,0.0,0.0,272.8619529094438,272.8,294.0,311.4,355,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,route_key,32,5,0.6592445845788044,0.0014333606623268085,0.6574306534054835,0.6607144229217731,73.69955547489674,58.6,140.2,155.4,174,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,route_key,64,5,0.48463385083791427,0.0017614279486674257,0.4822493218713139,0.48641348478488017,73.69955547489674,58.6,140.2,155.4,174,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,route_key,128,5,0.29483611809279564,0.010162742864550368,0.2817267076374195,0.3050831941043188,73.69955547489674,58.6,140.2,155.4,174,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,route_key,256,5,0.0,0.0,0.0,0.0,73.69955547489674,58.6,140.2,155.4,174,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,route_key,512,5,0.0,0.0,0.0,0.0,73.69955547489674,58.6,140.2,155.4,174,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,route_key,1024,5,0.0,0.0,0.0,0.0,73.69955547489674,58.6,140.2,155.4,174,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,route_key,4096,5,0.0,0.0,0.0,0.0,73.69955547489674,58.6,140.2,155.4,174,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,event_class,32,5,0.9942065790562815,0.00011133392808630578,0.9940738028211994,0.9943393816863073,270.0979492745315,271.4,296.4,315.2,339,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,event_class,64,5,0.9942065790562815,0.00011133392808630578,0.9940738028211994,0.9943393816863073,270.0979492745315,271.4,296.4,315.2,339,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
