hardware,agent_count,state_width,action_count,mode,threads,repetitions,median_wall_ms,mean_wall_ms,std_wall_ms,p10_wall_ms,p90_wall_ms,median_ns_per_agent_step,correctness_valid,cv
NVIDIA GeForce GTX 1660 Ti,65536,8,1,cpu,1.0,10,73.229917,73.769547,1.434433957593333,72.4774692,75.5151771,17.459372758865356,True,0.019444798238944492
NVIDIA GeForce GTX 1660 Ti,65536,8,1,cpu,8.0,10,20.6190585,21.085536400000002,1.4833200160564886,19.828517299999998,23.0138412,4.915966629981995,True,0.07034774870875414
NVIDIA GeForce GTX 1660 Ti,65536,8,1,eager-host-visible,,10,20.430660500000002,20.5287183,0.25147685467080755,20.3375651,20.7390222,4.8710490465164185,True,0.012250002703325494
NVIDIA GeForce GTX 1660 Ti,65536,8,1,eager-resident,,10,14.625897,14.624874299999998,0.028118527040014073,14.5830905,14.656422899999999,3.4870855808258057,True,0.0019226508524599131
NVIDIA GeForce GTX 1660 Ti,65536,8,1,graph-resident,,10,15.0843275,15.1163276,0.1365733474716052,15.036137,15.155271599999999,3.5963839292526245,True,0.009034823211399918
NVIDIA GeForce GTX 1660 Ti,65536,8,8,cpu,1.0,10,126.6478885,127.58641359999999,4.154896786682193,124.3225213,130.723176,30.195209622383118,True,0.032565354487573694
NVIDIA GeForce GTX 1660 Ti,65536,8,8,cpu,8.0,10,26.6128895,28.5417982,3.888718942397605,26.149297400000002,35.0113981,6.345007300376892,True,0.13624645914557706
NVIDIA GeForce GTX 1660 Ti,65536,8,8,eager-host-visible,,10,20.5163205,20.755065600000002,0.40091785967568644,20.4567699,21.2245763,4.891471982002258,True,0.019316626957598552
NVIDIA GeForce GTX 1660 Ti,65536,8,8,eager-resident,,10,14.794866,14.811489,0.0804521668253189,14.7246138,14.910292,3.5273709297180176,True,0.005431740645745941
NVIDIA GeForce GTX 1660 Ti,65536,8,8,graph-resident,,10,14.644974000000001,14.647570400000001,0.008882887095734081,14.6395959,14.6597521,3.491633892059326,True,0.0006064409900862521
